ABX3,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,exp_label
AgBiO3,Ag,Bi,O,1,5,-2,1.28,0.76,1.4,0.88,4.07,-1
AgBrO3,Ag,Br,O,1,5,-2,1.28,0.31,1.4,1.11,6.43,-1
AgCaCl3,Ag,Ca,Cl,1,2,-1,1.28,1,1.81,0.78,6,-1
AgCdBr3,Ag,Cd,Br,1,2,-1,1.28,0.95,1.96,0.79,5.58,-1
AgClO3,Ag,Cl,O,1,5,-2,1.28,0.12,1.4,1.25,15.17,-1
AgCoF3,Ag,Co,F,1,2,-1,1.28,0.74,1.33,0.89,3.96,1
AgCuF3,Ag,Cu,F,1,2,-1,1.28,0.73,1.33,0.9,3.94,1
AgMgCl3,Ag,Mg,Cl,1,2,-1,1.28,0.72,1.81,0.86,4.6,-1
AgMgF3,Ag,Mg,F,1,2,-1,1.28,0.72,1.33,0.9,3.94,1
AgMnF3,Ag,Mn,F,1,2,-1,1.28,0.83,1.33,0.85,4.16,1
AgNbO3,Ag,Nb,O,1,5,-2,1.28,0.64,1.4,0.93,4.07,1
AgNiF3,Ag,Ni,F,1,2,-1,1.28,0.69,1.33,0.91,3.93,1
AgNO3,Ag,N,O,1,5,-2,1.28,0.13,1.4,1.24,14.07,-1
AgPO3,Ag,P,O,1,5,-2,1.28,0.38,1.4,1.06,5.46,-1
AgSbO3,Ag,Sb,O,1,5,-2,1.28,0.6,1.4,0.95,4.15,-1
AgSnCl3,Ag,Sn,Cl,1,2,-1,1.28,1.15,1.81,0.74,10.97,-1
AgTaO3,Ag,Ta,O,1,5,-2,1.28,0.64,1.4,0.93,4.07,1
AgVO3,Ag,V,O,1,5,-2,1.28,0.54,1.4,0.98,4.34,-1
AgZnF3,Ag,Zn,F,1,2,-1,1.28,0.74,1.33,0.89,3.95,1
AlBO3,Al,B,O,3,3,-2,0.54,0.27,1.4,0.82,4.88,-1
AmVO3,Am,V,O,4,2,-2,0.95,0.79,1.4,0.76,11.85,1
BaAmO3,Ba,Am,O,2,4,-2,1.61,0.85,1.4,0.95,3.58,1
BaCeO3,Ba,Ce,O,2,4,-2,1.61,0.87,1.4,0.94,3.62,1
BaCO3,Ba,C,O,2,4,-2,1.61,0.16,1.4,1.36,13.47,-1
BaCoO3,Ba,Co,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1
BaCrO3,Ba,Cr,O,2,4,-2,1.61,0.55,1.4,1.09,4,-1
BaGeO3,Ba,Ge,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1
BaHfO3,Ba,Hf,O,2,4,-2,1.61,0.71,1.4,1.01,3.51,1
BaIrO3,Ba,Ir,O,2,4,-2,1.61,0.62,1.4,1.05,3.68,1
BaLiBr3,Ba,Li,Br,2,1,-1,1.61,0.76,1.96,0.93,4.22,-1
BaLiCl3,Ba,Li,Cl,2,1,-1,1.61,0.76,1.81,0.94,4.03,-1
BaMnO3,Ba,Mn,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1
BaMoO3,Ba,Mo,O,2,4,-2,1.61,0.65,1.4,1.04,3.62,1
BaNaBr3,Ba,Na,Br,2,1,-1,1.61,1.02,1.96,0.85,4.84,-1
BaNaCl3,Ba,Na,Cl,2,1,-1,1.61,1.02,1.81,0.85,4.69,-1
BaNaF3,Ba,Na,F,2,1,-1,1.61,1.02,1.33,0.88,4.22,-1
BaNbO3,Ba,Nb,O,2,4,-2,1.61,0.68,1.4,1.02,3.55,1
BaNiO3,Ba,Ni,O,2,4,-2,1.61,0.48,1.4,1.13,4.46,-1
BaNpO3,Ba,Np,O,2,4,-2,1.61,0.87,1.4,0.94,3.62,1
BaPaO3,Ba,Pa,O,2,4,-2,1.61,0.9,1.4,0.93,3.71,1
BaPbO3,Ba,Pb,O,2,4,-2,1.61,0.78,1.4,0.98,3.49,1
BaPuO3,Ba,Pu,O,2,4,-2,1.61,0.86,1.4,0.94,3.6,1
BaRuO3,Ba,Ru,O,2,4,-2,1.61,0.62,1.4,1.05,3.7,-1
BaSiO3,Ba,Si,O,2,4,-2,1.61,0.4,1.4,1.18,5.28,-1
BaSnO3,Ba,Sn,O,2,4,-2,1.61,0.69,1.4,1.02,3.54,1
BaTeO3,Ba,Te,O,2,4,-2,1.61,0.97,1.4,0.9,3.99,-1
BaThO3,Ba,Th,O,2,4,-2,1.61,0.94,1.4,0.91,3.86,1
BaTiO3,Ba,Ti,O,2,4,-2,1.61,0.6,1.4,1.06,3.75,1
BaUO3,Ba,U,O,2,4,-2,1.61,0.89,1.4,0.93,3.68,1
BaZrO3,Ba,Zr,O,2,4,-2,1.61,0.72,1.4,1,3.5,1
BiAlO3,Bi,Al,O,3,3,-2,1.17,0.54,1.4,0.94,2,1
BiFeO3,Bi,Fe,O,3,3,-2,1.17,0.64,1.4,0.89,2.31,1
BiInO3,Bi,In,O,3,3,-2,1.17,0.8,1.4,0.83,4.29,1
BiMnO3,Bi,Mn,O,3,3,-2,1.17,0.64,1.4,0.89,2.31,1
BiScO3,Bi,Sc,O,3,3,-2,1.17,0.74,1.4,0.85,3.32,1
CaCO3,Ca,C,O,2,4,-2,1.34,0.16,1.4,1.24,12.63,-1
CaCrO3,Ca,Cr,O,2,4,-2,1.34,0.55,1.4,0.99,4.02,1
CaCuCl3,Ca,Cu,Cl,2,1,-1,1.34,0.77,1.81,0.86,4.63,-1
CaGeO3,Ca,Ge,O,2,4,-2,1.34,0.53,1.4,1,4.09,1
CaHfO3,Ca,Hf,O,2,4,-2,1.34,0.71,1.4,0.92,3.91,1
CaIrO3,Ca,Ir,O,2,4,-2,1.34,0.62,1.4,0.96,3.86,1
CaLiBr3,Ca,Li,Br,2,1,-1,1.34,0.76,1.96,0.86,4.8,-1
CaLiCl3,Ca,Li,Cl,2,1,-1,1.34,0.76,1.81,0.87,4.6,-1
CaLiF3,Ca,Li,F,2,1,-1,1.34,0.76,1.33,0.9,3.97,-1
CaMnO3,Ca,Mn,O,2,4,-2,1.34,0.53,1.4,1,4.09,1
CaMoO3,Ca,Mo,O,2,4,-2,1.34,0.65,1.4,0.95,3.85,1
CaNbO3,Ca,Nb,O,2,4,-2,1.34,0.68,1.4,0.93,3.87,1
CaPbO3,Ca,Pb,O,2,4,-2,1.34,0.78,1.4,0.89,4.12,1
CaRuO3,Ca,Ru,O,2,4,-2,1.34,0.62,1.4,0.96,3.87,1
CaSiO3,Ca,Si,O,2,4,-2,1.34,0.4,1.4,1.08,5.04,1
CaSnO3,Ca,Sn,O,2,4,-2,1.34,0.69,1.4,0.93,3.88,1
CaTiO3,Ca,Ti,O,2,4,-2,1.34,0.6,1.4,0.97,3.88,1
CaUO3,Ca,U,O,2,4,-2,1.34,0.89,1.4,0.85,4.93,1
CaVO3,Ca,V,O,2,4,-2,1.34,0.58,1.4,0.98,3.93,1
CaZrO3,Ca,Zr,O,2,4,-2,1.34,0.72,1.4,0.91,3.94,1
CdCO3,Cd,C,O,2,4,-2,1.31,0.16,1.4,1.23,12.54,-1
CdCuCl3,Cd,Cu,Cl,2,1,-1,1.31,0.77,1.81,0.86,4.75,-1
CdCuI3,Cd,Cu,I,2,1,-1,1.31,0.77,2.2,0.84,5.26,-1
CdGeO3,Cd,Ge,O,2,4,-2,1.31,0.53,1.4,0.99,4.1,1
CdPbO3,Cd,Pb,O,2,4,-2,1.31,0.78,1.4,0.88,4.25,-1
CdSeO3,Cd,Se,O,2,4,-2,1.31,0.5,1.4,1.01,4.24,-1
CdSnO3,Cd,Sn,O,2,4,-2,1.31,0.69,1.4,0.92,3.95,1
CdSO3,Cd,S,O,2,4,-2,1.31,0.37,1.4,1.08,5.38,-1
CdTiO3,Cd,Ti,O,2,4,-2,1.31,0.6,1.4,0.96,3.92,1
CeAlO3,Ce,Al,O,3,3,-2,1.34,0.54,1.4,1,1.8,1
CeCrO3,Ce,Cr,O,4,2,-2,1.14,0.8,1.4,0.82,1.84,1
CeFeO3,Ce,Fe,O,4,2,-2,1.14,0.78,1.4,0.82,1.2,1
CeGaO3,Ce,Ga,O,3,3,-2,1.34,0.62,1.4,0.96,1.67,1
CeLuO3,Ce,Lu,O,3,3,-2,1.34,0.86,1.4,0.86,3.18,1
CeTiO3,Ce,Ti,O,4,2,-2,1.14,0.86,1.4,0.79,4.44,1
CeTmO3,Ce,Tm,O,3,3,-2,1.34,0.88,1.4,0.85,3.45,1
CeVO3,Ce,V,O,4,2,-2,1.14,0.79,1.4,0.82,1.51,1
CeYbO3,Ce,Yb,O,3,3,-2,1.34,0.87,1.4,0.85,3.28,1
CoCO3,Co,C,O,2,4,-2,0.9,0.16,1.4,1.04,11.26,-1
CoMnO3,Co,Mn,O,2,4,-2,0.9,0.53,1.4,0.84,5.06,-1
CoSeO3,Co,Se,O,2,4,-2,0.9,0.5,1.4,0.86,4.92,-1
CoSiO3,Co,Si,O,2,4,-2,0.9,0.4,1.4,0.9,5.05,-1
CoTiO3,Co,Ti,O,2,4,-2,0.9,0.6,1.4,0.81,5.81,-1
CrBO3,Cr,B,O,3,3,-2,0.62,0.27,1.4,0.85,4.49,-1
CrLiCl3,Cr,Li,Cl,2,1,-1,0.8,0.76,1.81,0.72,39.43,-1
CrMoO3,Cr,Mo,O,2,4,-2,0.8,0.65,1.4,0.76,10.01,-1
CsBaBr3,Cs,Ba,Br,1,2,-1,1.88,1.35,1.96,0.82,4.66,-1
CsBaCl3,Cs,Ba,Cl,1,2,-1,1.88,1.35,1.81,0.83,4.55,-1
CsBaF3,Cs,Ba,F,1,2,-1,1.88,1.35,1.33,0.85,4.19,-1
CsBeF3,Cs,Be,F,1,2,-1,1.88,0.45,1.33,1.28,4.88,1
CsBrO3,Cs,Br,O,1,5,-2,1.88,0.31,1.4,1.36,6.88,-1
CsCaCl3,Cs,Ca,Cl,1,2,-1,1.88,1,1.81,0.93,3.79,1
CsCaF3,Cs,Ca,F,1,2,-1,1.88,1,1.33,0.97,3.31,1
CsCdBr3,Cs,Cd,Br,1,2,-1,1.88,0.95,1.96,0.93,3.96,1
CsCdCl3,Cs,Cd,Cl,1,2,-1,1.88,0.95,1.81,0.95,3.8,1
CsCdF3,Cs,Cd,F,1,2,-1,1.88,0.95,1.33,1,3.3,1
CsCoCl3,Cs,Co,Cl,1,2,-1,1.88,0.74,1.81,1.02,4.16,-1
CsCrCl3,Cs,Cr,Cl,1,2,-1,1.88,0.8,1.81,1,4.01,-1
CsDyI3,Cs,Dy,I,1,2,-1,1.88,1.07,2.2,0.88,4.17,1
CsEuCl3,Cs,Eu,Cl,1,2,-1,1.88,1.17,1.81,0.88,3.94,1
CsFeCl3,Cs,Fe,Cl,1,2,-1,1.88,0.78,1.81,1.01,4.06,-1
CsGeCl3,Cs,Ge,Cl,1,2,-1,1.88,0.73,1.81,1.03,4.2,-1
CsGeI3,Cs,Ge,I,1,2,-1,1.88,0.73,2.2,0.98,4.74,-1
CsHgBr3,Cs,Hg,Br,1,2,-1,1.88,1.02,1.96,0.91,3.94,1
CsHgCl3,Cs,Hg,Cl,1,2,-1,1.88,1.02,1.81,0.92,3.79,1
CsHgF3,Cs,Hg,F,1,2,-1,1.88,1.02,1.33,0.97,3.32,1
CsIO3,Cs,I,O,1,5,-2,1.88,0.95,1.4,0.99,3.37,1
CsMgCl3,Cs,Mg,Cl,1,2,-1,1.88,0.72,1.81,1.03,4.23,-1
CsMgF3,Cs,Mg,F,1,2,-1,1.88,0.72,1.33,1.11,3.57,1
CsMgI3,Cs,Mg,I,1,2,-1,1.88,0.72,2.2,0.99,4.78,-1
CsMnBr3,Cs,Mn,Br,1,2,-1,1.88,0.83,1.96,0.97,4.13,-1
CsMnCl3,Cs,Mn,Cl,1,2,-1,1.88,0.83,1.81,0.99,3.95,1
CsMnF3,Cs,Mn,F,1,2,-1,1.88,0.83,1.33,1.05,3.37,-1
CsMnI3,Cs,Mn,I,1,2,-1,1.88,0.83,2.2,0.95,4.42,-1
CsNbO3,Cs,Nb,O,1,5,-2,1.88,0.64,1.4,1.14,3.91,-1
CsNiBr3,Cs,Ni,Br,1,2,-1,1.88,0.69,1.96,1.02,4.56,-1
CsNiCl3,Cs,Ni,Cl,1,2,-1,1.88,0.69,1.81,1.04,4.34,-1
CsNiI3,Cs,Ni,I,1,2,-1,1.88,0.69,2.2,1,4.91,-1
CsPbBr3,Cs,Pb,Br,1,2,-1,1.88,1.19,1.96,0.86,4.1,1
CsPbCl3,Cs,Pb,Cl,1,2,-1,1.88,1.19,1.81,0.87,3.98,1
CsPbF3,Cs,Pb,F,1,2,-1,1.88,1.19,1.33,0.9,3.57,1
CsPbI3,Cs,Pb,I,1,2,-1,1.88,1.19,2.2,0.85,4.3,1
CsSnBr3,Cs,Sn,Br,1,2,-1,1.88,1.15,1.96,0.87,4.03,1
CsSnCl3,Cs,Sn,Cl,1,2,-1,1.88,1.15,1.81,0.88,3.9,1
CsSnI3,Cs,Sn,I,1,2,-1,1.88,1.15,2.2,0.86,4.24,1
CsSrCl3,Cs,Sr,Cl,1,2,-1,1.88,1.18,1.81,0.87,3.95,1
CsSrF3,Cs,Sr,F,1,2,-1,1.88,1.18,1.33,0.9,3.55,1
CsSrI3,Cs,Sr,I,1,2,-1,1.88,1.18,2.2,0.85,4.29,-1
CsTiBr3,Cs,Ti,Br,1,2,-1,1.88,0.86,1.96,0.96,4.07,-1
CsTiI3,Cs,Ti,I,1,2,-1,1.88,0.86,2.2,0.94,4.35,-1
CsTmI3,Cs,Tm,I,1,2,-1,1.88,1.03,2.2,0.89,4.17,1
CsVCl3,Cs,V,Cl,1,2,-1,1.88,0.79,1.81,1,4.04,-1
CsVI3,Cs,V,I,1,2,-1,1.88,0.79,2.2,0.96,4.53,-1
CsVO3,Cs,V,O,1,5,-2,1.88,0.54,1.4,1.2,4.38,-1
CsYbI3,Cs,Yb,I,1,2,-1,1.88,1.02,2.2,0.9,4.17,1
CsZnCl3,Cs,Zn,Cl,1,2,-1,1.88,0.74,1.81,1.02,4.17,-1
CuCO3,Cu,C,O,2,4,-2,0.73,0.16,1.4,0.97,10.76,-1
CuGeO3,Cu,Ge,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1
CuNbO3,Cu,Nb,O,1,5,-2,0.77,0.64,1.4,0.75,7.69,-1
CuSeO3,Cu,Se,O,2,4,-2,0.73,0.5,1.4,0.79,6.52,-1
CuSiO3,Cu,Si,O,2,4,-2,0.73,0.4,1.4,0.84,5.57,-1
CuVO3,Cu,V,O,1,5,-2,0.77,0.54,1.4,0.79,5.61,-1
CuZnCl3,Cu,Zn,Cl,1,2,-1,0.77,0.74,1.81,0.72,27.63,-1
DyAlO3,Dy,Al,O,3,3,-2,1.08,0.54,1.4,0.91,2.23,1
DyBO3,Dy,B,O,3,3,-2,1.08,0.27,1.4,1.05,4.85,-1
DyCoO3,Dy,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.57,1
DyCrO3,Dy,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.61,1
DyFeO3,Dy,Fe,O,3,3,-2,1.08,0.64,1.4,0.86,2.89,1
DyMnO3,Dy,Mn,O,3,3,-2,1.08,0.64,1.4,0.86,2.89,1
DyNiO3,Dy,Ni,O,3,3,-2,1.08,0.6,1.4,0.88,2.5,1
DyRhO3,Dy,Rh,O,3,3,-2,1.08,0.66,1.4,0.85,3.12,1
DyScO3,Dy,Sc,O,3,3,-2,1.08,0.74,1.4,0.82,4.54,1
DyTiO3,Dy,Ti,O,3,3,-2,1.08,0.67,1.4,0.85,3.19,1
DyVO3,Dy,V,O,3,3,-2,1.08,0.64,1.4,0.86,2.84,1
ErAlO3,Er,Al,O,3,3,-2,1.06,0.54,1.4,0.9,2.3,1
ErBO3,Er,B,O,3,3,-2,1.06,0.27,1.4,1.04,4.8,-1
ErCrO3,Er,Cr,O,3,3,-2,1.06,0.62,1.4,0.86,2.76,1
ErFeO3,Er,Fe,O,3,3,-2,1.06,0.64,1.4,0.85,3.08,1
ErMnO3,Er,Mn,O,3,3,-2,1.06,0.64,1.4,0.85,3.08,1
ErNiO3,Er,Ni,O,3,3,-2,1.06,0.6,1.4,0.87,2.63,1
ErRhO3,Er,Rh,O,3,3,-2,1.06,0.66,1.4,0.84,3.34,1
ErTiO3,Er,Ti,O,3,3,-2,1.06,0.67,1.4,0.84,3.41,1
ErVO3,Er,V,O,3,3,-2,1.06,0.64,1.4,0.85,3.02,1
EuAlO3,Eu,Al,O,3,3,-2,1.12,0.54,1.4,0.92,2.12,1
EuBO3,Eu,B,O,3,3,-2,1.12,0.27,1.4,1.07,4.93,-1
EuCrO3,Eu,Cr,O,3,3,-2,1.12,0.62,1.4,0.88,2.39,1
EuFeO3,Eu,Fe,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1
EuGaO3,Eu,Ga,O,3,3,-2,1.12,0.62,1.4,0.88,2.42,1
EuMnO3,Eu,Mn,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1
EuNiO3,Eu,Ni,O,3,3,-2,1.12,0.6,1.4,0.89,2.31,1
EuRhO3,Eu,Rh,O,3,3,-2,1.12,0.66,1.4,0.86,2.8,1
EuScO3,Eu,Sc,O,3,3,-2,1.12,0.74,1.4,0.83,3.94,1
EuTiO3,Eu,Ti,O,3,3,-2,1.12,0.67,1.4,0.86,2.85,1
FeAlO3,Fe,Al,O,3,3,-2,0.78,0.54,1.4,0.8,5.22,-1
FeBO3,Fe,B,O,3,3,-2,0.78,0.27,1.4,0.92,4.35,-1
FeGaO3,Fe,Ga,O,3,3,-2,0.78,0.62,1.4,0.76,9.7,-1
FeMnO3,Fe,Mn,O,2,4,-2,0.92,0.53,1.4,0.85,4.94,-1
FeSiO3,Fe,Si,O,2,4,-2,0.92,0.4,1.4,0.91,5.02,-1
FeSO3,Fe,S,O,2,4,-2,0.92,0.37,1.4,0.93,5.24,-1
FeTiO3,Fe,Ti,O,2,4,-2,0.92,0.6,1.4,0.82,5.57,-1
GdAlO3,Gd,Al,O,3,3,-2,1.11,0.54,1.4,0.92,2.15,1
GdBO3,Gd,B,O,3,3,-2,1.11,0.27,1.4,1.06,4.9,-1
GdCoO3,Gd,Co,O,3,3,-2,1.11,0.61,1.4,0.88,2.43,1
GdCrO3,Gd,Cr,O,3,3,-2,1.11,0.62,1.4,0.88,2.46,1
GdFeO3,Gd,Fe,O,3,3,-2,1.11,0.64,1.4,0.87,2.7,1
GdGaO3,Gd,Ga,O,3,3,-2,1.11,0.62,1.4,0.88,2.5,1
GdMnO3,Gd,Mn,O,3,3,-2,1.11,0.64,1.4,0.87,2.7,1
GdNiO3,Gd,Ni,O,3,3,-2,1.11,0.6,1.4,0.89,2.37,1
GdRhO3,Gd,Rh,O,3,3,-2,1.11,0.66,1.4,0.86,2.9,1
GdScO3,Gd,Sc,O,3,3,-2,1.11,0.74,1.4,0.83,4.14,1
GdTiO3,Gd,Ti,O,3,3,-2,1.11,0.67,1.4,0.86,2.96,1
GdVO3,Gd,V,O,3,3,-2,1.11,0.64,1.4,0.87,2.66,1
GeCoO3,Ge,Co,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1
GeMnO3,Ge,Mn,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1
HgSeO3,Hg,Se,O,2,4,-2,1.14,0.5,1.4,0.95,4.33,-1
HgTeO3,Hg,Te,O,2,4,-2,1.14,0.97,1.4,0.76,12,-1
HgTiO3,Hg,Ti,O,2,4,-2,1.14,0.6,1.4,0.9,4.26,1
HoAlO3,Ho,Al,O,3,3,-2,1.12,0.54,1.4,0.92,2.12,1
HoBO3,Ho,B,O,3,3,-2,1.12,0.27,1.4,1.07,4.93,-1
HoCoO3,Ho,Co,O,3,3,-2,1.12,0.61,1.4,0.89,2.36,1
HoCrO3,Ho,Cr,O,3,3,-2,1.12,0.62,1.4,0.88,2.39,1
HoFeO3,Ho,Fe,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1
HoMnO3,Ho,Mn,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1
HoNiO3,Ho,Ni,O,3,3,-2,1.12,0.6,1.4,0.89,2.31,1
HoRhO3,Ho,Rh,O,3,3,-2,1.12,0.66,1.4,0.86,2.8,1
HoScO3,Ho,Sc,O,3,3,-2,1.12,0.74,1.4,0.83,3.94,1
HoTiO3,Ho,Ti,O,3,3,-2,1.12,0.67,1.4,0.86,2.85,1
ILiO3,I,Li,O,5,1,-2,0.95,0.76,1.4,0.77,4.85,-1
InBO3,In,B,O,3,3,-2,0.92,0.27,1.4,0.98,4.52,-1
InFeO3,In,Fe,O,3,3,-2,0.92,0.64,1.4,0.8,5.22,-1
InGaO3,In,Ga,O,3,3,-2,0.92,0.62,1.4,0.81,4.54,-1
InMnO3,In,Mn,O,3,3,-2,0.92,0.64,1.4,0.8,5.22,-1
KBaBr3,K,Ba,Br,1,2,-1,1.64,1.35,1.96,0.77,6.69,-1
KBaCl3,K,Ba,Cl,1,2,-1,1.64,1.35,1.81,0.77,6.58,-1
KBaF3,K,Ba,F,1,2,-1,1.64,1.35,1.33,0.78,6.23,-1
KBeCl3,K,Be,Cl,1,2,-1,1.64,0.45,1.81,1.08,5.84,-1
KBiO3,K,Bi,O,1,5,-2,1.64,0.76,1.4,1,3.65,-1
KBrO3,K,Br,O,1,5,-2,1.64,0.31,1.4,1.26,6.69,-1
KCaCl3,K,Ca,Cl,1,2,-1,1.64,1,1.81,0.87,4.13,1
KCaF3,K,Ca,F,1,2,-1,1.64,1,1.33,0.9,3.65,1
KCaI3,K,Ca,I,1,2,-1,1.64,1,2.2,0.85,4.52,-1
KCdCl3,K,Cd,Cl,1,2,-1,1.64,0.95,1.81,0.88,4.07,1
KCdF3,K,Cd,F,1,2,-1,1.64,0.95,1.33,0.92,3.56,1
KCdI3,K,Cd,I,1,2,-1,1.64,0.95,2.2,0.86,4.48,-1
KClO3,K,Cl,O,1,5,-2,1.64,0.12,1.4,1.41,15.89,-1
KCoBr3,K,Co,Br,1,2,-1,1.64,0.74,1.96,0.94,4.42,-1
KCoF3,K,Co,F,1,2,-1,1.64,0.74,1.33,1.01,3.58,1
KCoI3,K,Co,I,1,2,-1,1.64,0.74,2.2,0.92,4.74,-1
KCrF3,K,Cr,F,1,2,-1,1.64,0.8,1.33,0.99,3.52,1
KCuF3,K,Cu,F,1,2,-1,1.64,0.73,1.33,1.02,3.6,1
KFeCl3,K,Fe,Cl,1,2,-1,1.64,0.78,1.81,0.94,4.15,1
KFeF3,K,Fe,F,1,2,-1,1.64,0.78,1.33,1,3.53,1
KHgF3,K,Hg,F,1,2,-1,1.64,1.02,1.33,0.89,3.69,1
KHgI3,K,Hg,I,1,2,-1,1.64,1.02,2.2,0.84,4.54,-1
KIO3,K,I,O,1,5,-2,1.64,0.95,1.4,0.91,3.64,1
KMgCl3,K,Mg,Cl,1,2,-1,1.64,0.72,1.81,0.96,4.28,-1
KMgF3,K,Mg,F,1,2,-1,1.64,0.72,1.33,1.02,3.61,1
KMgI3,K,Mg,I,1,2,-1,1.64,0.72,2.2,0.93,4.82,-1
KMnCl3,K,Mn,Cl,1,2,-1,1.64,0.83,1.81,0.92,4.08,1
KMnF3,K,Mn,F,1,2,-1,1.64,0.83,1.33,0.97,3.5,1
KMnI3,K,Mn,I,1,2,-1,1.64,0.83,2.2,0.9,4.55,-1
KNbO3,K,Nb,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1
KNiCl3,K,Ni,Cl,1,2,-1,1.64,0.69,1.81,0.98,4.37,-1
KNiF3,K,Ni,F,1,2,-1,1.64,0.69,1.33,1.04,3.67,1
KNO3,K,N,O,1,5,-2,1.64,0.13,1.4,1.4,14.75,-1
KPaO3,K,Pa,O,1,5,-2,1.64,0.78,1.4,0.99,3.62,1
KPO3,K,P,O,1,5,-2,1.64,0.38,1.4,1.21,5.64,-1
KSbO3,K,Sb,O,1,5,-2,1.64,0.6,1.4,1.07,4.05,-1
KSmCl3,K,Sm,Cl,1,2,-1,1.64,1.22,1.81,0.81,5.03,-1
KSrCl3,K,Sr,Cl,1,2,-1,1.64,1.18,1.81,0.82,4.76,-1
KTaO3,K,Ta,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1
KTiI3,K,Ti,I,1,2,-1,1.64,0.86,2.2,0.89,4.51,-1
KTmI3,K,Tm,I,1,2,-1,1.64,1.03,2.2,0.84,4.56,-1
KUO3,K,U,O,1,5,-2,1.64,0.76,1.4,1,3.65,1
KVF3,K,V,F,1,2,-1,1.64,0.79,1.33,0.99,3.53,1
KVO3,K,V,O,1,5,-2,1.64,0.54,1.4,1.11,4.33,-1
KZnF3,K,Zn,F,1,2,-1,1.64,0.74,1.33,1.01,3.58,1
LaAlO3,La,Al,O,3,3,-2,1.36,0.54,1.4,1.01,1.79,1
LaBO3,La,B,O,3,3,-2,1.36,0.27,1.4,1.17,5.53,-1
LaCoO3,La,Co,O,3,3,-2,1.36,0.61,1.4,0.97,1.64,1
LaCrO3,La,Cr,O,3,3,-2,1.36,0.62,1.4,0.97,1.64,1
LaCuO3,La,Cu,O,3,3,-2,1.36,0.54,1.4,1.01,1.77,1
LaErO3,La,Er,O,3,3,-2,1.36,0.89,1.4,0.85,3.38,1
LaFeO3,La,Fe,O,3,3,-2,1.36,0.64,1.4,0.95,1.65,1
LaGaO3,La,Ga,O,3,3,-2,1.36,0.62,1.4,0.97,1.64,1
LaHoO3,La,Ho,O,3,3,-2,1.36,0.9,1.4,0.85,3.55,1
LaInO3,La,In,O,3,3,-2,1.36,0.8,1.4,0.89,2.36,1
LaLuO3,La,Lu,O,3,3,-2,1.36,0.86,1.4,0.86,2.99,1
LaMnO3,La,Mn,O,3,3,-2,1.36,0.64,1.4,0.95,1.65,1
LaNiO3,La,Ni,O,3,3,-2,1.36,0.6,1.4,0.98,1.64,1
LaRhO3,La,Rh,O,3,3,-2,1.36,0.66,1.4,0.95,1.68,1
LaRuO3,La,Ru,O,3,3,-2,1.36,0.68,1.4,0.94,1.71,1
