ABX3,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,exp_label
LaScO3,La,Sc,O,3,3,-2,1.36,0.74,1.4,0.91,1.98,1
LaTiO3,La,Ti,O,3,3,-2,1.36,0.67,1.4,0.94,1.69,1
LaTlO3,La,Tl,O,3,3,-2,1.36,0.88,1.4,0.85,3.31,-1
LaTmO3,La,Tm,O,3,3,-2,1.36,0.88,1.4,0.86,3.24,1
LaVO3,La,V,O,3,3,-2,1.36,0.64,1.4,0.96,1.64,1
LaYbO3,La,Yb,O,3,3,-2,1.36,0.87,1.4,0.86,3.08,1
LaYO3,La,Y,O,3,3,-2,1.36,0.9,1.4,0.85,3.54,1
LiAsO3,Li,As,O,1,5,-2,0.92,0.46,1.4,0.88,4.93,-1
LiBeCl3,Li,Be,Cl,1,2,-1,0.92,0.45,1.81,0.85,5.88,-1
LiBiO3,Li,Bi,O,1,5,-2,0.92,0.76,1.4,0.76,7.18,-1
LiCoBr3,Li,Co,Br,1,2,-1,0.92,0.74,1.96,0.75,7.48,-1
LiMgBr3,Li,Mg,Br,1,2,-1,0.92,0.72,1.96,0.76,6.94,-1
LiMgCl3,Li,Mg,Cl,1,2,-1,0.92,0.72,1.81,0.76,6.73,-1
LiMgF3,Li,Mg,F,1,2,-1,0.92,0.72,1.33,0.78,6.06,-1
LiMgI3,Li,Mg,I,1,2,-1,0.92,0.72,2.2,0.76,7.27,-1
LiNbO3,Li,Nb,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1
LiNiCl3,Li,Ni,Cl,1,2,-1,0.92,0.69,1.81,0.77,6.26,-1
LiNO3,Li,N,O,1,5,-2,0.92,0.13,1.4,1.07,13.39,-1
LiPO3,Li,P,O,1,5,-2,0.92,0.38,1.4,0.92,5.42,-1
LiReO3,Li,Re,O,1,5,-2,0.92,0.58,1.4,0.83,4.85,-1
LiSbO3,Li,Sb,O,1,5,-2,0.92,0.6,1.4,0.82,4.92,-1
LiTaO3,Li,Ta,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1
LiVO3,Li,V,O,1,5,-2,0.92,0.54,1.4,0.85,4.79,-1
LiZnF3,Li,Zn,F,1,2,-1,0.92,0.74,1.33,0.77,6.51,-1
LuBO3,Lu,B,O,3,3,-2,1.03,0.27,1.4,1.03,4.74,-1
LuCrO3,Lu,Cr,O,3,3,-2,1.03,0.62,1.4,0.85,3,1
LuFeO3,Lu,Fe,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1
LuMnO3,Lu,Mn,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1
LuTiO3,Lu,Ti,O,3,3,-2,1.03,0.67,1.4,0.83,3.79,1
MgCO3,Mg,C,O,2,4,-2,0.89,0.16,1.4,1.04,11.23,-1
MgGeO3,Mg,Ge,O,2,4,-2,0.89,0.53,1.4,0.84,5.12,-1
MgSeO3,Mg,Se,O,2,4,-2,0.89,0.5,1.4,0.85,4.97,-1
MgSiO3,Mg,Si,O,2,4,-2,0.89,0.4,1.4,0.9,5.06,1
MgTiO3,Mg,Ti,O,2,4,-2,0.89,0.6,1.4,0.81,5.94,-1
MgVO3,Mg,V,O,2,4,-2,0.89,0.58,1.4,0.82,5.58,-1
MnCO3,Mn,C,O,2,4,-2,0.96,0.16,1.4,1.07,11.45,-1
MnLiF3,Mn,Li,F,2,1,-1,0.96,0.76,1.33,0.77,8.56,-1
MnLiI3,Mn,Li,I,2,1,-1,0.96,0.76,2.2,0.75,9.71,-1
MnSeO3,Mn,Se,O,2,4,-2,0.96,0.5,1.4,0.88,4.69,-1
MnSiO3,Mn,Si,O,2,4,-2,0.96,0.4,1.4,0.93,4.98,-1
MnSO3,Mn,S,O,2,4,-2,0.96,0.37,1.4,0.94,5.23,-1
NaAsO3,Na,As,O,1,5,-2,1.39,0.46,1.4,1.06,4.78,-1
NaBeCl3,Na,Be,Cl,1,2,-1,1.39,0.45,1.81,1,5.76,-1
NaBiO3,Na,Bi,O,1,5,-2,1.39,0.76,1.4,0.91,3.87,-1
NaBrO3,Na,Br,O,1,5,-2,1.39,0.31,1.4,1.15,6.5,-1
NaCaBr3,Na,Ca,Br,1,2,-1,1.39,1,1.96,0.8,5.18,-1
NaCaCl3,Na,Ca,Cl,1,2,-1,1.39,1,1.81,0.81,5.03,-1
NaCaF3,Na,Ca,F,1,2,-1,1.39,1,1.33,0.83,4.55,-1
NaCaI3,Na,Ca,I,1,2,-1,1.39,1,2.2,0.79,5.42,-1
NaCdBr3,Na,Cd,Br,1,2,-1,1.39,0.95,1.96,0.81,4.91,-1
NaCdCl3,Na,Cd,Cl,1,2,-1,1.39,0.95,1.81,0.82,4.75,-1
NaCdF3,Na,Cd,F,1,2,-1,1.39,0.95,1.33,0.84,4.24,-1
NaCdI3,Na,Cd,I,1,2,-1,1.39,0.95,2.2,0.81,5.16,-1
NaClO3,Na,Cl,O,1,5,-2,1.39,0.12,1.4,1.3,15.4,-1
NaCoF3,Na,Co,F,1,2,-1,1.39,0.74,1.33,0.93,3.78,1
NaCrCl3,Na,Cr,Cl,1,2,-1,1.39,0.8,1.81,0.87,4.41,-1
NaCrF3,Na,Cr,F,1,2,-1,1.39,0.8,1.33,0.9,3.81,1
NaCuF3,Na,Cu,F,1,2,-1,1.39,0.73,1.33,0.93,3.78,1
NaFeF3,Na,Fe,F,1,2,-1,1.39,0.78,1.33,0.91,3.79,1
NaHgI3,Na,Hg,I,1,2,-1,1.39,1.02,2.2,0.79,5.56,-1
NaIO3,Na,I,O,1,5,-2,1.39,0.95,1.4,0.84,4.32,1
NaMgBr3,Na,Mg,Br,1,2,-1,1.39,0.72,1.96,0.88,4.66,-1
NaMgF3,Na,Mg,F,1,2,-1,1.39,0.72,1.33,0.94,3.78,1
NaMgI3,Na,Mg,I,1,2,-1,1.39,0.72,2.2,0.87,4.99,-1
NaMnCl3,Na,Mn,Cl,1,2,-1,1.39,0.83,1.81,0.86,4.43,-1
NaMnF3,Na,Mn,F,1,2,-1,1.39,0.83,1.33,0.89,3.85,1
NaNbO3,Na,Nb,O,1,5,-2,1.39,0.64,1.4,0.97,3.99,1
NaNiCl3,Na,Ni,Cl,1,2,-1,1.39,0.69,1.81,0.91,4.5,-1
NaNiF3,Na,Ni,F,1,2,-1,1.39,0.69,1.33,0.95,3.8,1
NaNO3,Na,N,O,1,5,-2,1.39,0.13,1.4,1.29,14.28,-1
NaPaO3,Na,Pa,O,1,5,-2,1.39,0.78,1.4,0.9,3.88,1
NaPO3,Na,P,O,1,5,-2,1.39,0.38,1.4,1.11,5.5,-1
NaSbO3,Na,Sb,O,1,5,-2,1.39,0.6,1.4,0.99,4.09,1
NaTaO3,Na,Ta,O,1,5,-2,1.39,0.64,1.4,0.97,3.99,1
NaUO3,Na,U,O,1,5,-2,1.39,0.76,1.4,0.91,3.87,1
NaVF3,Na,V,F,1,2,-1,1.39,0.79,1.33,0.91,3.8,1
NaVO3,Na,V,O,1,5,-2,1.39,0.54,1.4,1.02,4.32,-1
NaWO3,Na,W,O,1,5,-2,1.39,0.62,1.4,0.98,4.04,1
NaZnCl3,Na,Zn,Cl,1,2,-1,1.39,0.74,1.81,0.89,4.43,-1
NaZnF3,Na,Zn,F,1,2,-1,1.39,0.74,1.33,0.93,3.78,1
NdAlO3,Nd,Al,O,3,3,-2,1.27,0.54,1.4,0.98,1.85,1
NdCoO3,Nd,Co,O,3,3,-2,1.27,0.61,1.4,0.94,1.81,1
NdCrO3,Nd,Cr,O,3,3,-2,1.27,0.62,1.4,0.94,1.82,1
NdFeO3,Nd,Fe,O,3,3,-2,1.27,0.64,1.4,0.92,1.89,1
NdGaO3,Nd,Ga,O,3,3,-2,1.27,0.62,1.4,0.93,1.83,1
NdInO3,Nd,In,O,3,3,-2,1.27,0.8,1.4,0.86,3.05,1
NdMnO3,Nd,Mn,O,3,3,-2,1.27,0.64,1.4,0.92,1.89,1
NdNiO3,Nd,Ni,O,3,3,-2,1.27,0.6,1.4,0.94,1.8,1
NdRhO3,Nd,Rh,O,3,3,-2,1.27,0.66,1.4,0.91,1.96,1
NdScO3,Nd,Sc,O,3,3,-2,1.27,0.74,1.4,0.88,2.47,1
NdTiO3,Nd,Ti,O,3,3,-2,1.27,0.67,1.4,0.91,1.98,1
NdVO3,Nd,V,O,3,3,-2,1.27,0.64,1.4,0.93,1.87,1
NiMnO3,Ni,Mn,O,2,4,-2,0.69,0.53,1.4,0.77,8.51,-1
NiSeO3,Ni,Se,O,2,4,-2,0.69,0.5,1.4,0.78,7.37,-1
NiTiO3,Ni,Ti,O,2,4,-2,0.69,0.6,1.4,0.74,15.66,-1
PbAgBr3,Pb,Ag,Br,2,1,-1,1.49,1.15,1.96,0.78,7.71,-1
PbAgF3,Pb,Ag,F,2,1,-1,1.49,1.15,1.33,0.8,7.16,-1
PbCO3,Pb,C,O,2,4,-2,1.49,0.16,1.4,1.31,13.1,-1
PbGeO3,Pb,Ge,O,2,4,-2,1.49,0.53,1.4,1.06,4.08,1
PbHfO3,Pb,Hf,O,2,4,-2,1.49,0.71,1.4,0.97,3.63,1
PbLiBr3,Pb,Li,Br,2,1,-1,1.49,0.76,1.96,0.9,4.4,-1
PbLiCl3,Pb,Li,Cl,2,1,-1,1.49,0.76,1.81,0.91,4.21,-1
PbLiF3,Pb,Li,F,2,1,-1,1.49,0.76,1.33,0.95,3.57,-1
PbNaCl3,Pb,Na,Cl,2,1,-1,1.49,1.02,1.81,0.82,5.48,-1
PbNaF3,Pb,Na,F,2,1,-1,1.49,1.02,1.33,0.85,5.01,-1
PbSeO3,Pb,Se,O,2,4,-2,1.49,0.5,1.4,1.08,4.26,-1
PbSiO3,Pb,Si,O,2,4,-2,1.49,0.4,1.4,1.14,5.17,-1
PbSO3,Pb,S,O,2,4,-2,1.49,0.37,1.4,1.15,5.57,-1
PbTeO3,Pb,Te,O,2,4,-2,1.49,0.97,1.4,0.86,4.6,-1
PbTiO3,Pb,Ti,O,2,4,-2,1.49,0.6,1.4,1.02,3.78,1
PbZrO3,Pb,Zr,O,2,4,-2,1.49,0.72,1.4,0.96,3.64,1
PrAlO3,Pr,Al,O,3,3,-2,1.18,0.54,1.4,0.94,1.98,1
PrCoO3,Pr,Co,O,3,3,-2,1.18,0.61,1.4,0.91,2.09,1
PrCrO3,Pr,Cr,O,3,3,-2,1.18,0.62,1.4,0.91,2.11,1
PrFeO3,Pr,Fe,O,3,3,-2,1.18,0.64,1.4,0.89,2.26,1
PrGaO3,Pr,Ga,O,3,3,-2,1.18,0.62,1.4,0.9,2.13,1
PrLuO3,Pr,Lu,O,3,3,-2,1.18,0.86,1.4,0.81,5.7,1
PrMnO3,Pr,Mn,O,3,3,-2,1.18,0.64,1.4,0.89,2.26,1
PrNiO3,Pr,Ni,O,3,3,-2,1.18,0.6,1.4,0.91,2.06,1
PrRhO3,Pr,Rh,O,3,3,-2,1.18,0.66,1.4,0.88,2.39,1
PrRuO3,Pr,Ru,O,3,3,-2,1.18,0.68,1.4,0.88,2.51,1
PrScO3,Pr,Sc,O,3,3,-2,1.18,0.74,1.4,0.85,3.22,1
PrTiO3,Pr,Ti,O,3,3,-2,1.18,0.67,1.4,0.88,2.43,1
PrVO3,Pr,V,O,3,3,-2,1.18,0.64,1.4,0.89,2.23,1
PrYbO3,Pr,Yb,O,3,3,-2,1.18,0.87,1.4,0.8,5.92,1
PuCrO3,Pu,Cr,O,4,2,-2,0.96,0.8,1.4,0.76,12.08,1
PuVO3,Pu,V,O,4,2,-2,0.96,0.79,1.4,0.76,10.71,1
RbBaBr3,Rb,Ba,Br,1,2,-1,1.72,1.35,1.96,0.79,5.71,-1
RbBeCl3,Rb,Be,Cl,1,2,-1,1.72,0.45,1.81,1.1,5.87,-1
RbBeF3,Rb,Be,F,1,2,-1,1.72,0.45,1.33,1.21,4.81,-1
RbBrO3,Rb,Br,O,1,5,-2,1.72,0.31,1.4,1.29,6.75,-1
RbCaCl3,Rb,Ca,Cl,1,2,-1,1.72,1,1.81,0.89,3.98,1
RbCaF3,Rb,Ca,F,1,2,-1,1.72,1,1.33,0.93,3.5,1
RbCaI3,Rb,Ca,I,1,2,-1,1.72,1,2.2,0.87,4.37,-1
RbCdBr3,Rb,Cd,Br,1,2,-1,1.72,0.95,1.96,0.89,4.11,1
RbCdCl3,Rb,Cd,Cl,1,2,-1,1.72,0.95,1.81,0.9,3.96,1
RbCdF3,Rb,Cd,F,1,2,-1,1.72,0.95,1.33,0.95,3.45,1
RbClO3,Rb,Cl,O,1,5,-2,1.72,0.12,1.4,1.45,16.05,-1
RbCoCl3,Rb,Co,Cl,1,2,-1,1.72,0.74,1.81,0.98,4.19,-1
RbCoF3,Rb,Co,F,1,2,-1,1.72,0.74,1.33,1.04,3.54,1
RbCrCl3,Rb,Cr,Cl,1,2,-1,1.72,0.8,1.81,0.96,4.07,1
RbCrF3,Rb,Cr,F,1,2,-1,1.72,0.8,1.33,1.01,3.47,1
RbCuF3,Rb,Cu,F,1,2,-1,1.72,0.73,1.33,1.05,3.57,1
RbDyI3,Rb,Dy,I,1,2,-1,1.72,1.07,2.2,0.85,4.44,1
RbEuCl3,Rb,Eu,Cl,1,2,-1,1.72,1.17,1.81,0.84,4.36,-1
RbFeCl3,Rb,Fe,Cl,1,2,-1,1.72,0.78,1.81,0.96,4.11,-1
RbFeF3,Rb,Fe,F,1,2,-1,1.72,0.78,1.33,1.02,3.49,1
RbGeI3,Rb,Ge,I,1,2,-1,1.72,0.73,2.2,0.95,4.76,-1
RbHgF3,Rb,Hg,F,1,2,-1,1.72,1.02,1.33,0.92,3.53,1
RbIO3,Rb,I,O,1,5,-2,1.72,0.95,1.4,0.94,3.52,1
RbMgCl3,Rb,Mg,Cl,1,2,-1,1.72,0.72,1.81,0.99,4.26,-1
RbMgI3,Rb,Mg,I,1,2,-1,1.72,0.72,2.2,0.95,4.8,-1
RbMnBr3,Rb,Mn,Br,1,2,-1,1.72,0.83,1.96,0.93,4.21,-1
RbMnCl3,Rb,Mn,Cl,1,2,-1,1.72,0.83,1.81,0.95,4.02,1
RbMnF3,Rb,Mn,F,1,2,-1,1.72,0.83,1.33,1,3.45,1
RbMnI3,Rb,Mn,I,1,2,-1,1.72,0.83,2.2,0.91,4.49,-1
RbNbO3,Rb,Nb,O,1,5,-2,1.72,0.64,1.4,1.08,3.91,1
RbNiBr3,Rb,Ni,Br,1,2,-1,1.72,0.69,1.96,0.98,4.57,-1
RbNO3,Rb,N,O,1,5,-2,1.72,0.13,1.4,1.44,14.89,-1
RbPaO3,Rb,Pa,O,1,5,-2,1.72,0.78,1.4,1.01,3.58,1
RbPbF3,Rb,Pb,F,1,2,-1,1.72,1.19,1.33,0.86,4.04,1
RbPbI3,Rb,Pb,I,1,2,-1,1.72,1.19,2.2,0.82,4.77,-1
RbPO3,Rb,P,O,1,5,-2,1.72,0.38,1.4,1.24,5.68,-1
RbSnI3,Rb,Sn,I,1,2,-1,1.72,1.15,2.2,0.83,4.63,-1
RbSrCl3,Rb,Sr,Cl,1,2,-1,1.72,1.18,1.81,0.83,4.4,-1
RbSrF3,Rb,Sr,F,1,2,-1,1.72,1.18,1.33,0.86,4,-1
RbTaO3,Rb,Ta,O,1,5,-2,1.72,0.64,1.4,1.08,3.91,1
RbTiI3,Rb,Ti,I,1,2,-1,1.72,0.86,2.2,0.91,4.44,-1
RbTmI3,Rb,Tm,I,1,2,-1,1.72,1.03,2.2,0.86,4.39,1
RbUO3,Rb,U,O,1,5,-2,1.72,0.76,1.4,1.02,3.61,1
RbVF3,Rb,V,F,1,2,-1,1.72,0.79,1.33,1.02,3.48,1
RbVI3,Rb,V,I,1,2,-1,1.72,0.79,2.2,0.93,4.58,-1
RbVO3,Rb,V,O,1,5,-2,1.72,0.54,1.4,1.14,4.34,-1
RbYbI3,Rb,Yb,I,1,2,-1,1.72,1.02,2.2,0.86,4.38,-1
RbZnCl3,Rb,Zn,Cl,1,2,-1,1.72,0.74,1.81,0.98,4.2,-1
RbZnF3,Rb,Zn,F,1,2,-1,1.72,0.74,1.33,1.04,3.55,1
SbAsO3,Sb,As,O,3,3,-2,0.76,0.58,1.4,0.77,7.96,-1
ScAlO3,Sc,Al,O,3,3,-2,0.87,0.54,1.4,0.83,3.65,1
ScBO3,Sc,B,O,3,3,-2,0.87,0.27,1.4,0.96,4.45,-1
ScCrO3,Sc,Cr,O,3,3,-2,0.87,0.62,1.4,0.8,5.51,1
SmAlO3,Sm,Al,O,3,3,-2,1.24,0.54,1.4,0.96,1.89,1
SmBO3,Sm,B,O,3,3,-2,1.24,0.27,1.4,1.12,5.22,-1
SmCoO3,Sm,Co,O,3,3,-2,1.24,0.61,1.4,0.93,1.89,1
SmCrO3,Sm,Cr,O,3,3,-2,1.24,0.62,1.4,0.93,1.9,1
SmFeO3,Sm,Fe,O,3,3,-2,1.24,0.64,1.4,0.91,1.99,1
SmInO3,Sm,In,O,3,3,-2,1.24,0.8,1.4,0.85,3.36,1
SmMnO3,Sm,Mn,O,3,3,-2,1.24,0.64,1.4,0.91,1.99,1
SmNiO3,Sm,Ni,O,3,3,-2,1.24,0.6,1.4,0.93,1.87,1
SmRhO3,Sm,Rh,O,3,3,-2,1.24,0.66,1.4,0.9,2.08,1
SmScO3,Sm,Sc,O,3,3,-2,1.24,0.74,1.4,0.87,2.68,1
SmTiO3,Sm,Ti,O,3,3,-2,1.24,0.67,1.4,0.9,2.11,1
SmVO3,Sm,V,O,3,3,-2,1.24,0.64,1.4,0.92,1.98,1
SmYO3,Sm,Y,O,3,3,-2,1.24,0.9,1.4,0.81,5.45,-1
SnMnO3,Sn,Mn,O,2,4,-2,1.15,0.53,1.4,0.93,4.24,-1
SnNaCl3,Sn,Na,Cl,2,1,-1,1.15,1.02,1.81,0.74,16.57,-1
SrAmO3,Sr,Am,O,2,4,-2,1.44,0.85,1.4,0.89,4.07,1
SrCeO3,Sr,Ce,O,2,4,-2,1.44,0.87,1.4,0.88,4.18,1
SrCO3,Sr,C,O,2,4,-2,1.44,0.16,1.4,1.29,12.94,-1
SrCoO3,Sr,Co,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1
SrGeO3,Sr,Ge,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1
SrHfO3,Sr,Hf,O,2,4,-2,1.44,0.71,1.4,0.95,3.71,1
SrIrO3,Sr,Ir,O,2,4,-2,1.44,0.62,1.4,0.99,3.76,1
SrLiBr3,Sr,Li,Br,2,1,-1,1.44,0.76,1.96,0.88,4.51,-1
SrMnO3,Sr,Mn,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1
SrMoO3,Sr,Mo,O,2,4,-2,1.44,0.65,1.4,0.98,3.72,1
SrNaBr3,Sr,Na,Br,2,1,-1,1.44,1.02,1.96,0.81,6.11,-1
SrNaCl3,Sr,Na,Cl,2,1,-1,1.44,1.02,1.81,0.81,5.96,-1
SrNbO3,Sr,Nb,O,2,4,-2,1.44,0.68,1.4,0.97,3.7,1
SrPbO3,Sr,Pb,O,2,4,-2,1.44,0.78,1.4,0.92,3.8,1
SrPuO3,Sr,Pu,O,2,4,-2,1.44,0.86,1.4,0.89,4.12,1
SrRuO3,Sr,Ru,O,2,4,-2,1.44,0.62,1.4,0.99,3.77,1
SrSiO3,Sr,Si,O,2,4,-2,1.44,0.4,1.4,1.12,5.12,-1
SrSnO3,Sr,Sn,O,2,4,-2,1.44,0.69,1.4,0.96,3.7,1
SrTeO3,Sr,Te,O,2,4,-2,1.44,0.97,1.4,0.85,4.96,-1
SrTiO3,Sr,Ti,O,2,4,-2,1.44,0.6,1.4,1,3.8,1
SrVO3,Sr,V,O,2,4,-2,1.44,0.58,1.4,1.01,3.87,1
SrZrO3,Sr,Zr,O,2,4,-2,1.44,0.72,1.4,0.95,3.72,1
TbAlO3,Tb,Al,O,3,3,-2,1.1,0.54,1.4,0.91,2.19,1
TbCoO3,Tb,Co,O,3,3,-2,1.1,0.61,1.4,0.88,2.5,1
TbCrO3,Tb,Cr,O,3,3,-2,1.1,0.62,1.4,0.88,2.54,1
TbFeO3,Tb,Fe,O,3,3,-2,1.1,0.64,1.4,0.86,2.79,1
TbMnO3,Tb,Mn,O,3,3,-2,1.1,0.64,1.4,0.86,2.79,1
TbRhO3,Tb,Rh,O,3,3,-2,1.1,0.66,1.4,0.85,3.01,1
TbTiO3,Tb,Ti,O,3,3,-2,1.1,0.67,1.4,0.85,3.07,1
TeCdO3,Te,Cd,O,4,2,-2,0.97,0.95,1.4,0.71,181.51,-1
TeCoO3,Te,Co,O,4,2,-2,0.97,0.74,1.4,0.78,5.61,-1
TeCuO3,Te,Cu,O,4,2,-2,0.97,0.73,1.4,0.79,4.62,-1
TeZnO3,Te,Zn,O,4,2,-2,0.97,0.74,1.4,0.78,5.26,-1
TiBO3,Ti,B,O,3,3,-2,0.67,0.27,1.4,0.88,4.38,-1
TiMnO3,Ti,Mn,O,3,3,-2,0.67,0.64,1.4,0.72,75.12,-1
TlBeCl3,Tl,Be,Cl,1,2,-1,1.7,0.45,1.81,1.1,5.86,-1
TlBrO3,Tl,Br,O,1,5,-2,1.7,0.31,1.4,1.28,6.74,-1
TlCdCl3,Tl,Cd,Cl,1,2,-1,1.7,0.95,1.81,0.9,3.98,1
TlCdF3,Tl,Cd,F,1,2,-1,1.7,0.95,1.33,0.94,3.48,1
TlCdI3,Tl,Cd,I,1,2,-1,1.7,0.95,2.2,0.88,4.39,-1
TlCoF3,Tl,Co,F,1,2,-1,1.7,0.74,1.33,1.03,3.55,1
TlCrF3,Tl,Cr,F,1,2,-1,1.7,0.8,1.33,1.01,3.48,1
TlCuF3,Tl,Cu,F,1,2,-1,1.7,0.73,1.33,1.04,3.58,1
TlEuCl3,Tl,Eu,Cl,1,2,-1,1.7,1.17,1.81,0.83,4.44,-1
TlFeF3,Tl,Fe,F,1,2,-1,1.7,0.78,1.33,1.02,3.5,1
TlFeI3,Tl,Fe,I,1,2,-1,1.7,0.78,2.2,0.93,4.62,-1
TlGeI3,Tl,Ge,I,1,2,-1,1.7,0.73,2.2,0.94,4.77,-1
TlIO3,Tl,I,O,1,5,-2,1.7,0.95,1.4,0.93,3.55,1
TlMgCl3,Tl,Mg,Cl,1,2,-1,1.7,0.72,1.81,0.98,4.26,-1
TlMnCl3,Tl,Mn,Cl,1,2,-1,1.7,0.83,1.81,0.94,4.04,1
TlMnF3,Tl,Mn,F,1,2,-1,1.7,0.83,1.33,0.99,3.46,1
TlMnI3,Tl,Mn,I,1,2,-1,1.7,0.83,2.2,0.91,4.51,-1
TlNiO3,Tl,Ni,O,3,3,-2,0.98,0.6,1.4,0.84,3.32,1
TlNO3,Tl,N,O,1,5,-2,1.7,0.13,1.4,1.43,14.86,-1
TlPbCl3,Tl,Pb,Cl,1,2,-1,1.7,1.19,1.81,0.83,4.53,-1
TlPbI3,Tl,Pb,I,1,2,-1,1.7,1.19,2.2,0.81,4.85,-1
TlSbO3,Tl,Sb,O,1,5,-2,1.7,0.6,1.4,1.1,4.05,-1
TlSrCl3,Tl,Sr,Cl,1,2,-1,1.7,1.18,1.81,0.83,4.48,-1
TlVO3,Tl,V,O,3,3,-2,0.98,0.64,1.4,0.82,3.97,-1
TlZnCl3,Tl,Zn,Cl,1,2,-1,1.7,0.74,1.81,0.97,4.21,-1
TmAlO3,Tm,Al,O,3,3,-2,1.05,0.54,1.4,0.9,2.34,1
TmBO3,Tm,B,O,3,3,-2,1.05,0.27,1.4,1.04,4.78,-1
TmCrO3,Tm,Cr,O,3,3,-2,1.05,0.62,1.4,0.86,2.84,1
TmFeO3,Tm,Fe,O,3,3,-2,1.05,0.64,1.4,0.85,3.17,1
TmNiO3,Tm,Ni,O,3,3,-2,1.05,0.6,1.4,0.87,2.7,1
TmTiO3,Tm,Ti,O,3,3,-2,1.05,0.67,1.4,0.84,3.53,1
VBO3,V,B,O,3,3,-2,0.64,0.27,1.4,0.86,4.42,-1
VCrO3,V,Cr,O,3,3,-2,0.64,0.62,1.4,0.72,71.63,-1
VLiCl3,V,Li,Cl,2,1,-1,0.79,0.76,1.81,0.72,52.08,-1
YAlO3,Y,Al,O,3,3,-2,1.08,0.54,1.4,0.9,2.26,1
YbAlO3,Yb,Al,O,3,3,-2,1.04,0.54,1.4,0.89,2.38,1
YbCrO3,Yb,Cr,O,3,3,-2,1.04,0.62,1.4,0.86,2.92,1
YbFeO3,Yb,Fe,O,3,3,-2,1.04,0.64,1.4,0.84,3.27,1
YbMnO3,Yb,Mn,O,3,3,-2,1.04,0.64,1.4,0.84,3.27,1
YbNiO3,Yb,Ni,O,3,3,-2,1.04,0.6,1.4,0.86,2.77,1
YBO3,Y,B,O,3,3,-2,1.08,0.27,1.4,1.05,4.83,-1
YbTiO3,Yb,Ti,O,3,3,-2,1.04,0.67,1.4,0.83,3.65,1
YCoO3,Y,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.63,1
YCrO3,Y,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.67,1
YFeO3,Y,Fe,O,3,3,-2,1.08,0.64,1.4,0.86,2.96,1
YGaO3,Y,Ga,O,3,3,-2,1.08,0.62,1.4,0.87,2.71,1
YInO3,Y,In,O,3,3,-2,1.08,0.8,1.4,0.8,6.39,-1
YMnO3,Y,Mn,O,3,3,-2,1.08,0.64,1.4,0.86,2.96,1
YNiO3,Y,Ni,O,3,3,-2,1.08,0.6,1.4,0.88,2.55,1
YScO3,Y,Sc,O,3,3,-2,1.08,0.74,1.4,0.82,4.68,1
YTiO3,Y,Ti,O,3,3,-2,1.08,0.67,1.4,0.85,3.27,1
YTmO3,Y,Tm,O,3,3,-2,1.08,0.88,1.4,0.77,10.9,-1
YVO3,Y,V,O,3,3,-2,1.08,0.64,1.4,0.86,2.9,1
YYbO3,Y,Yb,O,3,3,-2,1.08,0.87,1.4,0.77,9.98,-1
ZnGeO3,Zn,Ge,O,2,4,-2,0.9,0.53,1.4,0.84,5.06,-1
ZnSeO3,Zn,Se,O,2,4,-2,0.9,0.5,1.4,0.86,4.92,-1
ZnSiO3,Zn,Si,O,2,4,-2,0.9,0.4,1.4,0.9,5.05,-1
ZnSnO3,Zn,Sn,O,2,4,-2,0.9,0.69,1.4,0.78,7.85,-1
ZnTiO3,Zn,Ti,O,2,4,-2,0.9,0.6,1.4,0.81,5.81,-1